Name,Type,Cuisine,Area,Address,Phone,Website,Opening Hours,OSM Rating,Latitude,Longitude,Google Maps,Google Rating,Google Reviews,Price Range,Special Notes,Source
121,,,"Restaurants, cafés, bakeries, tea stalls, street food",,,N/A,,N/A,,,N/A,,,,,
132,,,"Restaurants, cafés, bakeries, tea stalls, street food",,,N/A,,N/A,,,N/A,,,,,
13NO BRIDGE,Fast Food,regional,Uttara,"Gausul Azam Avenue, Sector 14",,,19:00-23:00,,23.8695342,90.392836,"https://www.google.com/maps?q=23.8695342,90.392836",N/A,N/A,N/A,N/A,OpenStreetMap
19 Restaurant,Restaurant,,Mohammadpur,,,,,,23.7644133,90.3589828,"https://www.google.com/maps?q=23.7644133,90.3589828",N/A,N/A,N/A,N/A,OpenStreetMap
1st Cup Coffee,Café / Coffee Shop,Turkish / Middle Eastern,Sector 3,"House#21, Road#3, Jashimuddin Rd",+880 1753-535304,N/A,10:00 AM – 1:00 AM,N/A,23.862,90.399,N/A,4,93,,"Coffee, brownie, kebab, vanilla latte, snacks",
1st Cup Coffee Business Brunch,Café / Coffee Shop,Café / Bakery / Dessert,Sector 3,"Jashimuddin, Uttara",+880 1685-283997,N/A,7:00 AM – 12:00 AM,N/A,23.862,90.399,N/A,4.2,116,,"Coffee, books, cappuccino, cozy, book-café vibe",
2 Point,Restaurant,,Mirpur,,,,,,23.8023796,90.3533032,"https://www.google.com/maps?q=23.8023796,90.3533032",N/A,N/A,N/A,N/A,OpenStreetMap
2 in Taste Kitchen,Restaurant,,Mirpur,,,,,,23.8101702,90.3665035,"https://www.google.com/maps?q=23.8101702,90.3665035",N/A,N/A,N/A,N/A,OpenStreetMap
2.0 Cafe,Cafe,,Hatirpool,Road 2,,,Mo-Su 11:00-22:00,,23.7383457,90.3780149,"https://www.google.com/maps?q=23.7383457,90.3780149",N/A,N/A,N/A,N/A,OpenStreetMap
20,,,Highly rated places,,,N/A,,N/A,,,N/A,,,,,
24k,Restaurant,,Malibagh,,,,,,23.751445,90.4239965,"https://www.google.com/maps?q=23.751445,90.4239965",N/A,N/A,N/A,N/A,OpenStreetMap
26,,,Top-rated,,,N/A,,N/A,,,N/A,,,,,
27 Number,Restaurant,,Dhanmondi,,,,,,23.7546269,90.3729269,"https://www.google.com/maps?q=23.7546269,90.3729269",N/A,N/A,N/A,N/A,OpenStreetMap
33,,,Top-rated places,,,N/A,,N/A,,,N/A,,,,,
35,,,Below average rated,,,N/A,,N/A,,,N/A,,,,,
4,,,Below average,,,N/A,,N/A,,,N/A,,,,,
52,,,Good-rated places,,,N/A,,N/A,,,N/A,,,,,
69,,,Good rated,,,N/A,,N/A,,,N/A,,,,,
7-Eleven,Restaurant,,Dhanmondi,,,,,,23.747742,90.3861432,"https://www.google.com/maps?q=23.747742,90.3861432",N/A,N/A,N/A,N/A,OpenStreetMap
7-Eleven,Fast Food,,Dhanmondi,Mirpur Road,,,Mo-Su 08:00-23:00,,23.7531609,90.3768718,"https://www.google.com/maps?q=23.7531609,90.3768718",N/A,N/A,N/A,N/A,OpenStreetMap
77,,,Good rated places,,,N/A,,N/A,,,N/A,,,,,
89,,,"Restaurants, cafés, bakeries, steakhouses, fine dining",,,N/A,,N/A,,,N/A,,,,,
90 Degree West Banani,Restaurant,,Banani,,,,,,23.7930391,90.403934,"https://www.google.com/maps?q=23.7930391,90.403934",N/A,N/A,N/A,N/A,OpenStreetMap
A F C restaurant,Restaurant,,Pallabi,,,,,,23.8207263,90.3650327,"https://www.google.com/maps?q=23.8207263,90.3650327",N/A,N/A,N/A,N/A,OpenStreetMap
A&W Restaurants,Fast Food,,Gulshan,,,,,,23.7820125,90.4160542,"https://www.google.com/maps?q=23.7820125,90.4160542",N/A,N/A,N/A,N/A,OpenStreetMap
A-show Kichu Khie Tea Stall,Cafe,,Uttara,,,,,,23.8956395,90.409075,"https://www.google.com/maps?q=23.8956395,90.409075",N/A,N/A,N/A,N/A,OpenStreetMap
"A.J.R. Parcel & Courier service Ltd., Choto katara",Food Court,,Old Dhaka,,,,,,23.7121659,90.3960636,"https://www.google.com/maps?q=23.7121659,90.3960636",N/A,N/A,N/A,N/A,OpenStreetMap
ALFRESCO,Restaurant,,Banani,,,,,,23.7909651,90.4041176,"https://www.google.com/maps?q=23.7909651,90.4041176",N/A,N/A,N/A,N/A,OpenStreetMap
AMERICAN Burger,Restaurant,,Gulshan,,,,,,23.790841,90.4052253,"https://www.google.com/maps?q=23.790841,90.4052253",N/A,N/A,N/A,N/A,OpenStreetMap
AN-NAFEE HOTEL AND RESTAURANT,Restaurant,,Mirpur,,,,,,23.808905,90.3670483,"https://www.google.com/maps?q=23.808905,90.3670483",N/A,N/A,N/A,N/A,OpenStreetMap
ANJUM kabab ghor,Restaurant,,Motijheel,"10/1, Toyenbee circular Road",+8801881445205,,08:00-23:00,,23.7281167,90.4222058,"https://www.google.com/maps?q=23.7281167,90.4222058",N/A,N/A,N/A,N/A,OpenStreetMap
ARAX,Restaurant,,Banani,,,,,,23.7911563,90.402943,"https://www.google.com/maps?q=23.7911563,90.402943",N/A,N/A,N/A,N/A,OpenStreetMap
ARROWHEAD GRILL,Restaurant,,Banani,,,,,,23.79071,90.4040687,"https://www.google.com/maps?q=23.79071,90.4040687",N/A,N/A,N/A,N/A,OpenStreetMap
Aawal Hotel,Restaurant,,Gulshan,korail,,,,,23.7834675,90.4121768,"https://www.google.com/maps?q=23.7834675,90.4121768",N/A,N/A,N/A,N/A,OpenStreetMap
Abacus,Restaurant,,Dhanmondi,,,,,,23.7466113,90.3707916,"https://www.google.com/maps?q=23.7466113,90.3707916",N/A,N/A,N/A,N/A,OpenStreetMap
Abacus Thai and Chinese Restaurant,Restaurant,,Gulshan,,,,,,23.7789216,90.4168486,"https://www.google.com/maps?q=23.7789216,90.4168486",N/A,N/A,N/A,N/A,OpenStreetMap
"Abbas Hotel, Dhaka",Restaurant,Bangla,Pallabi,,01327998030,,,,23.8356017,90.3768447,"https://www.google.com/maps?q=23.8356017,90.3768447",N/A,N/A,N/A,N/A,OpenStreetMap
Abdul Jalil Hotel,Restaurant,,Mirpur DOHS,Bawnia Bazar,,,,,23.8446843,90.3887756,"https://www.google.com/maps?q=23.8446843,90.3887756",N/A,N/A,N/A,N/A,OpenStreetMap
